Prompt,Sequence of Nodes
"Fetch data when a key is pressed and show it in a modal.","[OnKeyPress],[FetchData],[DisplayModal]"
"Filter a list of items and cache the filtered results.","[Filter],[CacheData]"
"Split a dataset and render charts for each part.","[Split],[RenderChart]"
"Group items by category and display them on the screen.","[GroupBy],[Show]"
"Merge multiple datasets and store the merged result.","[Merge],[StoreData]"
"Sort a list of numbers and find the smallest number using Reduce.","[Sort],[Reduce],[Log]"
"Map user data to a new format and save the result.","[Map],[StoreData]"
"Display an alert when a variable changes and update the display with the new data.","[OnVariableChange],[Alert],[Update]"
"Send a network request when a key is pressed.","[OnKeyPress],[SendRequest]"
"Fetch data when the window is resized and cache the fetched data.","[OnWindowResize],[FetchData],[CacheData]"
"Delete outdated entries after a 5-second delay when a user submits a form","[OnSubmit],[Delay],[DeleteData]"
"Wait for 5 seconds and then display a message on the screen","[Delay],[Show]"
"Trigger an alert after a 2-second delay when a key is pressed","[OnKeyPress],[Delay],[Alert]"
"Delay for 1 second before logging the current date and time","[Delay],[Log]"
"Check if a user is logged in before navigating to the dashboard","[Branch],[Navigate]"
"Branch based on user role; navigate to admin or user page accordingly","[Branch],[Navigate]"
"Branch to show different messages based on a variable's value","[Branch],[Show]"
"Delete user data when a button is clicked and display a confirmation message","[OnClick],[DeleteData],[Show]"
"Delete obsolete cache entries and log the action","[DeleteData],[Log]"
"Remove a specific record from the database after a successful network request","[SendRequest],[DeleteData]"
"Submit a form and display a confirmation message when the submission is successful","[OnSubmit],[Show]"
"Fetch user profile data after a form is submitted and display it on the screen","[OnSubmit],[FetchData],[Show]"
"Save form data to local storage when the form is submitted and then navigate to a thank you page","[OnSubmit],[Save],[Navigate]"
"Trigger an alert when a specific variable changes value","[OnVariableChange],[Alert]"
"Log the new value of a variable whenever it changes","[OnVariableChange],[Log]"
"Update a displayed value on the screen after a variable has changed","[OnVariableChange],[Update]"
"Play a sound when a key is pressed and log the key value","[OnKeyPress],[PlaySound],[Log]"
"Navigate to a different page when a specific key is released","[OnKeyRelease],[Navigate]"
"Show a tooltip with additional information when a key is pressed","[OnKeyPress],[Tooltip]"
"Display a modal dialog with information when the window is resized","[OnWindowResize],[DisplayModal]"
"Highlight a specific section on the screen when the window is resized","[OnWindowResize],[Highlight]"
"Show a message on the screen when the window is resized","[OnWindowResize],[Show]"
"Trigger an action every 5 seconds to fetch data from an API","[OnTimer],[FetchData]"
"Pause a sound every 10 seconds during a timed event","[OnTimer],[PauseSound]"
"Sort a list of items every minute and update the display","[OnTimer],[Sort],[Update]"
"Trigger an action when the mouse pointer enters an element and play a sound","[OnMouseEnter],[PlaySound]"
"Hide an element when the mouse pointer leaves it and log the action","[OnMouseLeave],[Hide],[Log]"
"Display a tooltip with additional information when the mouse enters an element","[OnMouseEnter],[Tooltip]"
"Branch to different actions based on user input","[Branch],[Show]"
"Map data from one format to another and display it on the screen","[Map],[Show]"
"Filter data to remove invalid entries and then merge the remaining data","[Filter],[Merge]"
"Group data by category and sort the groups by name before displaying","[GroupBy],[Sort],[Show]"
"Update user profile information and display a confirmation message","[UpdateData],[Show]"
"Fetch and cache user data for performance improvement and then display it","[FetchData],[CacheData],[Show]"
"Delete old records from the database and log the result","[DeleteData],[Log]"
"Trigger a sound to play when a specific variable changes value","[OnVariableChange],[PlaySound]"
"Hide an element when the window is resized","[OnWindowResize],[Hide]"
"Show a tooltip with additional information when an element is clicked","[OnClick],[Tooltip]"
"Update the display with new information after a key press","[OnKeyPress],[Update]"
"Fetch user profile data and store it in local storage when a form is submitted","[OnSubmit],[FetchData],[StoreData]"
"Sort a list of numbers in ascending order and display them on the screen","[Sort],[Show]"
"Play a sound when a key is pressed and then pause the sound when the key is released","[OnKeyPress],[PlaySound],[OnKeyRelease],[PauseSound]"
"Display a modal dialog with user feedback when a button is clicked","[OnClick],[DisplayModal]"
"Navigate to a different page after a timer triggers","[OnTimer],[Navigate]"
"Log an error message when data fails to be fetched from an API","[FetchData],[Log]"
"Assign a new value to a variable when a button is clicked and then show an alert","[OnClick],[Assign],[Alert]"
"Merge two datasets and render a chart with the combined data","[Merge],[RenderChart]"
"Delete a record from the database when a specific variable changes","[OnVariableChange],[DeleteData]"
"Group items by category and display them in a sorted order","[GroupBy],[Sort],[Show]"
"Highlight an element when the mouse enters and then display a tooltip with information","[OnMouseEnter],[Highlight],[Tooltip]"
"Fetch data from an API and update the display with the new information","[FetchData],[Update]"
"Display a confirmation modal when a user submits a form","[OnSubmit],[DisplayModal]"
"Store the fetched data into local storage and then hide the element","[FetchData],[StoreData],[Hide]"
"Show a message in the console when the window is resized","[OnWindowResize],[Console]"
"Play a sound when a mouse pointer enters an element and stop it when the mouse leaves","[OnMouseEnter],[PlaySound],[OnMouseLeave],[StopSound]"
"Sort a list of user names alphabetically and display them","[Sort],[Show]"
"Update the display with new data every 5 seconds","[OnTimer],[Update]"
"Fetch and display data in a tooltip when the mouse hovers over an element","[OnMouseEnter],[FetchData],[Tooltip]"
"Pause a sound when a specific variable changes","[OnVariableChange],[PauseSound]"
"Filter out outdated data and show the remaining data in a modal","[Filter],[DisplayModal]"
"Navigate to a new URL when a key is released","[OnKeyRelease],[Navigate]"
"Cache user preferences after they are updated and then log the action","[UpdateData],[CacheData],[Log]"
"Show an alert when an item is deleted from the database","[DeleteData],[Alert]"
"Group data by date and render a chart with the grouped information","[GroupBy],[RenderChart]"
"Hide a modal when a key is pressed and display a new message","[OnKeyPress],[CloseModal],[Show]"
"Log a message when a data fetch request is successful","[FetchData],[Log]"
"Assign a new value to a variable when a timer completes","[OnTimer],[Assign]"
"Show a message on the screen after a key is pressed and a timer completes","[OnKeyPress],[OnTimer],[Show]"
"Sort and then filter a list of items before displaying them","[Sort],[Filter],[Show]"
"Reduce a list of user scores to find the highest score and display it in the console","[Reduce],[Console]"
"Delete outdated records from the database and then close the modal dialog","[DeleteData],[CloseModal]"
"Split a large file into smaller segments and delete the original file","[Split],[Delete]"
"Close a modal dialog and then reduce a list of numbers to calculate the average","[CloseModal],[Reduce]"
"Split a dataset into chunks and delete the chunks that are no longer needed","[Split],[Delete]"
"Reduce a list of product prices to find the lowest price and log it to the console","[Reduce],[Console]"
"Delete user preferences from local storage and close the confirmation modal","[Delete],[CloseModal]"
"Split a long string into sentences and log each sentence to the console","[Split],[Console]"
"Reduce a list of tasks to find the most critical task and then close the task modal","[Reduce],[CloseModal]"
"Delete expired cache entries and log the deletion action to the console","[Delete],[Console]"
"Close the modal dialog and then reduce the list of errors to find the most critical one","[CloseModal],[Reduce]"
"Split a dataset by categories and delete entries from each category after processing","[Split],[Delete]"
"Log a confirmation message to the console after a modal dialog is closed","[CloseModal],[Console]"
"Reduce a list of scores to find the average score and delete the temporary results","[Reduce],[Delete]"
"Split user feedback into positive and negative comments and close the feedback modal","[Split],[CloseModal]"
"Delete old logs from the database and then reduce the remaining logs to summary statistics","[Delete],[Reduce]"
"Close the modal dialog and then split a list of product details into categories","[CloseModal],[Split]"
"Reduce a list of sales data to find the top 10 sales and delete outdated records","[Reduce],[Delete]"
"Split a user list into different segments and log each segment to the console","[Split],[Console]"
"Delete temporary files after a modal dialog is closed and log the action","[Delete],[CloseModal],[Log]"
"Close a modal and then reduce a list of transaction amounts to calculate the total","[CloseModal],[Reduce]"
"Split a large data file into manageable parts and delete the original file","[Split],[Delete]"
"Reduce the number of items in a list to a specific threshold and log the result","[Reduce],[Console]"
"Delete unnecessary data entries after closing the data review modal","[Delete],[CloseModal]"
"Close a modal dialog and reduce a list of customer feedback to actionable insights","[CloseModal],[Reduce]"
"Split a set of records by type and delete obsolete records from each type","[Split],[Delete]"
"Trigger a sound to play when the window is resized and stop the sound when the resize ends.","[OnWindowResize],[PlaySound],[OnWindowResize],[StopSound]"
"Save user input data to local storage and then show a confirmation message on the screen.","[OnClick],[Save],[Show]"
"Navigate to a different URL after 5 seconds when a key is pressed.","[OnKeyPress],[Delay],[Navigate]"
"Fetch data from an API, update the data, and then display it in a modal.","[FetchData],[UpdateData],[DisplayModal]"
"Highlight an element on mouse enter and hide the highlight on mouse leave.","[OnMouseEnter],[Highlight],[OnMouseLeave],[Hide]"
"Sort a list of items by date and then display the sorted list.","[Sort],[Show]"
"Log an alert when a key is released and then display the alert message on the screen.","[OnKeyRelease],[Log],[Alert]"
"Delete user data from a database and then display a confirmation message.","[DeleteData],[Show]"
"Fetch and cache data for improved performance, then update the display with the fetched data.","[FetchData],[CacheData],[Update]"
"Branch based on a user’s choice, fetch corresponding data, and display it.","[Branch],[FetchData],[Show]"
"Filter items based on availability, then merge the filtered data with another dataset, and show the result.","[Filter],[Merge],[Show]"
"Play a sound when a variable changes, and then pause the sound if the variable changes again.","[OnVariableChange],[PlaySound],[OnVariableChange],[PauseSound]"
"Group user activity data by type, and then render a chart based on the grouped data.","[GroupBy],[RenderChart]"
"Fetch data, sort it by relevance, and then update the display with the sorted data.","[FetchData],[Sort],[Update]"
"Show a tooltip with additional information when the mouse enters an element, and hide the tooltip when the mouse leaves.","[OnMouseEnter],[Tooltip],[OnMouseLeave],[Hide]"
"Assign a new value to a variable and log the updated value to the console.","[Assign],[Log]"
"Delete records older than 1 year and then update the display to reflect the changes.","[Delete],[Update]"
"Pause a currently playing sound when a specific key is pressed and resume it when the key is released.","[OnKeyPress],[PauseSound],[OnKeyRelease],[PlaySound]"
"Store user preferences in local storage and then navigate to a confirmation page.","[StoreData],[Navigate]"
"Map user input data to a specific format and then show the formatted data on the screen.","[Map],[Show]"
"Fetch user profile data, cache it, and then display a modal with the cached data.","[FetchData],[CacheData],[DisplayModal]"
"Sort items by rating and then display the top-rated items on the screen.","[Sort],[Show]"
"Branch based on user role, fetch relevant data, and then display a different modal based on the role.","[Branch],[FetchData],[DisplayModal]"
"Highlight a selected element, and then update the display to reflect the selection.","[Highlight],[Update]"
"Log a message every time a user clicks on a button and then display the message on the screen.","[OnClick],[Log],[Show]"
"Play a sound on a timer every 10 seconds and stop the sound when the timer ends.","[OnTimer],[PlaySound],[OnTimer],[StopSound]"
"Update user profile information and then fetch the updated data to display it.","[UpdateData],[FetchData],[Show]"
"Filter out irrelevant data and then merge the filtered data with another dataset before showing it.","[Filter],[Merge],[Show]"
"Show a modal dialog when the window is resized and then close the modal when resizing is complete.","[OnWindowResize],[DisplayModal],[OnWindowResize],[CloseModal]"
"Log the current time whenever the window is resized and display the time on the screen.","[OnWindowResize],[Log],[Show]"
"Trigger a sound to play when the window is resized and stop the sound when the resize ends.","[OnWindowResize],[PlaySound],[OnWindowResize],[StopSound]"
"Save user input data to local storage and then show a confirmation message on the screen.","[OnClick],[Save],[Show]"
"Navigate to a different URL after 5 seconds when a key is pressed.","[OnKeyPress],[Delay],[Navigate]"
"Fetch data from an API, update the data, and then display it in a modal.","[FetchData],[UpdateData],[DisplayModal]"
"Highlight an element on mouse enter and hide the highlight on mouse leave.","[OnMouseEnter],[Highlight],[OnMouseLeave],[Hide]"
"Sort a list of items by date and then display the sorted list.","[Sort],[Show]"
"Log an alert when a key is released and then display the alert message on the screen.","[OnKeyRelease],[Log],[Alert]"
"Delete user data from a database and then display a confirmation message.","[DeleteData],[Show]"
"Fetch and cache data for improved performance, then update the display with the fetched data.","[FetchData],[CacheData],[Update]"
"Branch based on a user’s choice, fetch corresponding data, and display it.","[Branch],[FetchData],[Show]"
"Filter items based on availability, then merge the filtered data with another dataset, and show the result.","[Filter],[Merge],[Show]"
"Play a sound when a variable changes, and then pause the sound if the variable changes again.","[OnVariableChange],[PlaySound],[OnVariableChange],[PauseSound]"
"Group user activity data by type, and then render a chart based on the grouped data.","[GroupBy],[RenderChart]"
"Fetch data, sort it by relevance, and then update the display with the sorted data.","[FetchData],[Sort],[Update]"
"Show a tooltip with additional information when the mouse enters an element, and hide the tooltip when the mouse leaves.","[OnMouseEnter],[Tooltip],[OnMouseLeave],[Hide]"
"Assign a new value to a variable and log the updated value to the console.","[Assign],[Log]"
"Delete records older than 1 year and then update the display to reflect the changes.","[Delete],[Update]"
"Pause a currently playing sound when a specific key is pressed and resume it when the key is released.","[OnKeyPress],[PauseSound],[OnKeyRelease],[PlaySound]"
"Store user preferences in local storage and then navigate to a confirmation page.","[StoreData],[Navigate]"
"Map user input data to a specific format and then show the formatted data on the screen.","[Map],[Show]"
"Fetch user profile data, cache it, and then display a modal with the cached data.","[FetchData],[CacheData],[DisplayModal]"
"Sort items by rating and then display the top-rated items on the screen.","[Sort],[Show]"
"Branch based on user role, fetch relevant data, and then display a different modal based on the role.","[Branch],[FetchData],[DisplayModal]"
"Highlight a selected element, and then update the display to reflect the selection.","[Highlight],[Update]"
"Log a message every time a user clicks on a button and then display the message on the screen.","[OnClick],[Log],[Show]"
"Play a sound on a timer every 10 seconds and stop the sound when the timer ends.","[OnTimer],[PlaySound],[OnTimer],[StopSound]"
"Update user profile information and then fetch the updated data to display it.","[UpdateData],[FetchData],[Show]"
"Filter out irrelevant data and then merge the filtered data with another dataset before showing it.","[Filter],[Merge],[Show]"
"Show a modal dialog when the window is resized and then close the modal when resizing is complete.","[OnWindowResize],[DisplayModal],[OnWindowResize],[CloseModal]"
"Log the current time whenever the window is resized and display the time on the screen.","[OnWindowResize],[Log],[Show]"
"Show a notification when a user clicks a button and log the notification details.","[OnClick],[Show],[Log]"
"Fetch the latest news articles, filter out non-relevant ones, and display the filtered articles in a modal.","[FetchData],[Filter],[DisplayModal]"
"Group data by category, map it to a specific format, and render a chart with the mapped data.","[GroupBy],[Map],[RenderChart]"
"Highlight form fields with validation errors and display a tooltip with error messages.","[Show],[Highlight],[Tooltip]"
"Fetch user profile data, update it with new information, and then save the updated profile to local storage.","[FetchData],[UpdateData],[Save]"
"Sort a list of tasks by priority and display the sorted list on the screen.","[Sort],[Show]"
"Log the current timestamp every time a key is pressed and display the log entries on the screen.","[OnKeyPress],[Log],[Show]"
"Assign default settings to user preferences when a reset button is clicked and then navigate to the settings page.","[OnClick],[Assign],[Navigate]"
"Fetch and cache search results, and then update the search results display using cached data.","[FetchData],[CacheData],[Update]"
"Filter customer reviews by rating and display the top reviews in a highlighted section.","[Filter],[Highlight],[Show]"
"Delete old session data and log the deletion process for auditing purposes.","[Delete],[Log]"
"Fetch weather data, map it to a specific format, and display it in a tooltip when hovering over a weather icon.","[FetchData],[Map],[Tooltip]"
"Group event logs by type, reduce them to a summary count, and render a chart with the summarized data.","[GroupBy],[Reduce],[RenderChart]"
"Play an alert sound when a form is submitted and show a confirmation message on the screen.","[OnSubmit],[PlaySound],[Show]"
"Highlight selected items in a list and then update the display to reflect the selection changes.","[Highlight],[Update]"
"Fetch and store user data in a cache, then display the cached data in a tooltip when the user hovers over a profile picture.","[FetchData],[CacheData],[Tooltip]"
"Play a sound every 30 seconds as a reminder, and pause the sound when the user clicks a cancel button.","[OnTimer],[PlaySound],[OnClick],[PauseSound]"
"Sort user comments by date and update the display to show the most recent comments at the top.","[Sort],[Update]"
"Branch based on user input, fetch related content, and display the content in a modal dialog.","[Branch],[FetchData],[DisplayModal]"
"Map API response data to a table format and show the table on the screen for review.","[Map],[Show]"
"Filter items based on user preferences and then merge the filtered items with another dataset before displaying them.","[Filter],[Merge],[Show]"
"Show a tooltip with additional details when the mouse hovers over a chart element, and hide the tooltip when the mouse leaves.","[OnMouseEnter],[Tooltip],[OnMouseLeave],[Hide]"
"Play a sound when the user clicks a specific button and stop the sound when another button is clicked.","[OnClick],[PlaySound],[OnClick],[StopSound]"
"Assign new values to multiple variables and log the updated values for debugging purposes.","[Assign],[Log]"
"Delete outdated items from a list and update the display to reflect the changes.","[Delete],[Update]"
"Fetch a list of products, sort them by rating, and display the top-rated products in a modal dialog.","[FetchData],[Sort],[DisplayModal]"
"Store user preferences in a cache and show a tooltip with the preferences when the user hovers over a settings icon.","[StoreData],[CacheData],[Tooltip]"
"Log the number of page views every time the page is resized and display the view count on the screen.","[OnWindowResize],[Log],[Show]"
"Highlight important notifications and display them in a prominent section on the screen.","[Highlight],[Show]"
"Group transaction data by date, reduce it to total transactions per day, and render a chart with the daily totals.","[GroupBy],[Reduce],[RenderChart]"
"Fetch and display user feedback data in a tooltip when a user hovers over a feedback icon.","[FetchData],[Tooltip]"
"Play a sound when a form submission is successful and show a confirmation message on the screen.","[OnSubmit],[PlaySound],[Show]"
"Map survey responses to a specific format and update the display with the mapped data.","[Map],[Update]"
"Filter out irrelevant search results and display the relevant results in a modal dialog.","[Filter],[DisplayModal]"
"Group comments by author, sort them by date, and display the sorted comments in a highlighted section.","[GroupBy],[Sort],[Highlight],[Show]"
"Update the display and send a request.","[Update],[SendRequest]"
"Delete a record when the delete button is pressed.","[OnClick],[SendRequest],[DeleteData]"
